facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
534QC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CHARLESTON VA CLINIC, SC",SC,4.5
537,2026-01-21,MENTAL HEALTH INDIVIDUAL,"JESSE BROWN VAMC, IL",IL,19.5
537BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ADAM BENJAMIN JR. VA OPC, IN",IN,16.8
538,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CHILLICOTHE VA MEDICAL CENTER, OH",OH,40.2
538GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ATHENS VA CLINIC, OH",OH,33.7
538GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PORTSMOUTH VA CLINIC, OH",OH,24.2
538GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MARIETTA VA CLINIC, OH",OH,0.0
538GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LANCASTER VA CLINIC, OH",OH,29.0
538GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CAMBRIDGE VA CLINIC, OH",OH,30.0
539,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CINCINNATI VA MEDICAL CENTER, OH",OH,37.3
539GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BELLEVUE VA CLINIC, KY",KY,0.0
539GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CLERMONT COUNTY VA CLINIC, OH",OH,20.5
539GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DEARBORN VA CLINIC, IN",IN,29.7
539GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FLORENCE VA CLINIC, OH",OH,34.0
539GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HAMILTON VA CLINIC, OH",OH,16.8
539GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GEORGETOWN VA CLINIC, OH",OH,25.2
540,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LOUIS A. JOHNSON VAMC, WV",WV,20.2
540GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PARKERSBURG, WV",WV,15.6
540GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BRAXTON COUNTY VA CLINIC, WV",WV,46.0
540GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"MONONGALIA COUNTY VA CLINIC, WV",WV,22.7
541,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LOUIS STOKES CLEVELAND VAMC, OH",OH,35.7
